ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
4.0,Auckland,ASB Classic,2026-01-12,ATP250,Outdoor,Hard,1st Round,3,Comesana F.,Royer V.,107.0,148.0,10.0,0.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.2,1.67,2.21,1.74,2.25,1.75,2.12,1.7,2.2,1.78
4.0,Auckland,ASB Classic,2026-01-12,ATP250,Outdoor,Hard,1st Round,3,Brooksby J.,Watt J.,81.0,199.0,30.0,0.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.07,9.0,1.08,10.0,1.07,13.0,1.06,8.69,1.09,11.0
4.0,Auckland,ASB Classic,2026-01-12,ATP250,Outdoor,Hard,1st Round,3,Tabilo A.,Ugo Carabelli C.,25.0,56.0,401.0,103.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.75,1.47,2.88,1.45,2.8,1.43,2.73,1.46,3.0
4.0,Auckland,ASB Classic,2026-01-12,ATP250,Outdoor,Hard,1st Round,3,Michelsen A.,Navone M.,33.0,29.0,240.0,368.0,2.0,6.0,6.0,2.0,7.0,5.0,,,,,2.0,1.0,Completed,1.3,3.5,1.34,3.55,1.32,3.5,1.3,3.44,1.35,3.7
3.0,Adelaide,Adelaide International,2026-01-12,ATP250,Outdoor,Hard,1st Round,3,Vacherot V.,Kecmanovic M.,38.0,50.0,198.0,150.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.73,2.1,1.78,2.15,1.75,2.2,1.72,2.09,1.84,2.16
4.0,Auckland,ASB Classic,2026-01-12,ATP250,Outdoor,Hard,1st Round,3,Baez S.,Nava E.,28.0,88.0,373.0,23.0,4.0,6.0,7.0,5.0,6.0,3.0,,,,,2.0,1.0,Completed,2,1.8,2.19,1.75,2.1,1.8,2.02,1.76,2.22,1.81
4.0,Auckland,ASB Classic,2026-01-12,ATP250,Outdoor,Hard,1st Round,3,Norrie C.,Gaston H.,34.0,195.0,240.0,0.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.5,2.63,1.53,2.65,1.53,2.8,1.5,2.55,1.59,2.66
3.0,Adelaide,Adelaide International,2026-01-12,ATP250,Outdoor,Hard,1st Round,3,Opelka R.,Popyrin A.,70.0,96.0,55.0,13.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2,1.8,2.07,1.83,2.08,1.85,2.01,1.77,2.12,1.86
3.0,Adelaide,Adelaide International,2026-01-12,ATP250,Outdoor,Hard,1st Round,3,Munar J.,Altmaier D.,76.0,105.0,43.0,13.0,6.0,3.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.41,3.14,1.44,3.0,1.39,2.9,1.43,3.25
3.0,Adelaide,Adelaide International,2026-01-12,ATP250,Outdoor,Hard,1st Round,3,Humbert U.,Atmane T.,26.0,55.0,383.0,105.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.3,3.5,1.38,3.3,1.36,3.5,1.33,3.27,1.39,3.5
