number,value,state,params_colsample_bytree,params_extra_trees,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_num_leaves,params_path_smooth,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_best_iteration,duration
51,0.617050420053352,PRUNED,0.8165942828054688,False,0.014792286008339782,255,4,18,0.001136818240506097,0.015548337517982925,26,0.01784809225906577,0.0007385927195049948,1.2083811281606816,0.7132472723265035,1,,0 days 00:00:03.780187
52,0.6078152314947063,PRUNED,0.699388863603416,False,0.04420216631015421,511,8,37,0.04442600309517442,0.12147962569439041,65,0.058206863278012666,3.9516238587524843,1.0715543009479093e-06,0.5780072752899501,7,,0 days 00:00:17.294766
53,0.6113835442852008,PRUNED,0.6750256080316072,False,0.005285816665186462,511,10,171,0.04580191042319368,0.4148485925643599,53,0.03453886627303007,0.529922141690484,2.356602670266039e-05,0.8746995593613707,1,,0 days 00:00:18.518822
54,0.6046457921310693,COMPLETE,0.8888320791197524,False,0.011339180853628178,127,10,64,1.9924652889898855,0.37941339774474825,83,1.055081116434595,0.0004247703399089915,6.412472998870094e-08,0.9555769247688572,1,479.0,0 days 00:00:38.784241
55,0.6083325087641228,PRUNED,0.7065572145318743,False,0.023334466925481134,511,7,122,0.1549310662237737,0.4183308397311194,253,0.6516406115776752,0.00012018468331591753,0.00021277178512610684,0.6172985976274509,6,,0 days 00:00:05.371180
56,0.6074331076150989,COMPLETE,0.7824801961575805,True,0.018571474182583154,255,4,101,0.0008405974090464424,0.016212632462174005,64,0.10014753485655968,1.0661649522972498,0.01832916467588293,0.8709850906834282,4,1042.0,0 days 00:00:53.914125
57,0.6124768583725594,PRUNED,0.6095966101861748,True,0.010600854483502585,511,8,130,0.3717827778088006,0.42499829456460575,28,0.13296764656166438,0.42841125194394164,5.145334913833213e-07,0.9934123885397755,3,,0 days 00:00:10.715867
58,0.6054912234431606,COMPLETE,0.8875221472263826,False,0.055016931971477764,255,4,75,0.0013176870136789864,0.1356865041779716,64,0.22132015258013582,0.24236630393030656,0.07512920141708324,0.7997724254604837,2,248.0,0 days 00:00:14.522801
59,0.6090505133217423,PRUNED,0.9014511053276965,False,0.013757573797054744,511,4,97,0.0025660801146222788,0.0845176673529901,38,0.5674574707989202,0.02199586093177306,3.1840470290833385,0.8515002980501325,0,,0 days 00:00:12.049778
60,0.623029197177208,PRUNED,0.7949142453703325,False,0.0064525911944161955,511,12,29,0.003154785864953847,0.3728278008538885,223,0.08934468283364427,0.026678331393102484,5.410690268916812e-06,0.839336903045727,5,,0 days 00:00:15.362363
61,0.6190235471271377,PRUNED,0.9450795131084768,False,0.010823969019051529,127,10,93,2.874493653478062,0.3576817248975039,22,0.8746229596476295,0.0001858982526260791,4.326913672993031e-06,0.9305671474342756,2,,0 days 00:00:04.897321
62,0.6066983398238257,COMPLETE,0.8582214105788666,False,0.04246879444193829,127,12,16,0.2067380595444796,0.3806344225267878,149,1.3310148426174457,0.018138671768360957,2.304664857659305e-08,0.8990528561310863,2,96.0,0 days 00:00:17.365152
63,0.6098692616014022,PRUNED,0.9958803087998946,True,0.013730163999569871,127,10,69,5.142738648207939,0.47969155494922244,110,0.9607671241528432,0.13133415520981132,5.6511874283632373e-08,0.7961954652229154,1,,0 days 00:00:11.786644
64,0.6048329448003766,COMPLETE,0.9827540201175415,False,0.01674286532214309,511,8,105,3.1657186937319968,0.47624888430379697,172,1.2643574778096789,0.0002957824974680435,2.1789900277324647e-06,0.9017920193390297,3,546.0,0 days 00:00:49.782801
65,0.6047561423707514,COMPLETE,0.6340362768742923,False,0.03205253518586937,511,7,70,0.9863131869433895,0.20579841285234224,246,0.07152102935044176,0.05602207101761736,0.4666162418044777,0.6369854414531212,5,221.0,0 days 00:00:18.094400
66,0.6268028650273291,PRUNED,0.7094724486914216,False,0.006277179950413509,127,6,129,0.29567479658264134,0.33311906753790477,253,0.3350134092898993,0.013947707513655141,0.17707444313344167,0.6400038033147658,4,,0 days 00:00:03.982424
67,0.6050711034305011,COMPLETE,0.7973109699616303,False,0.010924529265093774,127,8,63,6.299469071434218,0.4417060779272856,122,0.8792166583028266,0.0003367983004704861,4.2195529175008443e-08,0.813671148130568,5,576.0,0 days 00:00:39.443260
68,0.6047323439382503,COMPLETE,0.8273505898755623,False,0.035242468172792946,127,4,90,0.0052576722828716555,0.00819339471515047,107,0.0017234687341500326,0.0018745302058804816,4.715382114974393,0.75617151299407,3,349.0,0 days 00:00:17.882832
69,0.6093767746386867,PRUNED,0.9579578425134153,True,0.01294951656505701,127,8,13,0.0001668194822658009,0.1704872883403321,226,0.014874861407915413,0.026393174911733146,2.8266446602432278e-08,0.8830416677234902,5,,0 days 00:00:13.700835
70,0.6138214224229245,PRUNED,0.7107623543928251,False,0.014771792096649082,127,7,57,0.1815390217540191,0.05152273329872781,43,0.4611197607614369,4.523386798110136,1.9401060617443643e-08,0.5812990903606018,4,,0 days 00:00:03.981378
71,0.6049209201794169,COMPLETE,0.6833769308508852,False,0.08865931000620818,255,6,177,1.7371602626154763,0.22189132067612327,48,1.2445419964477702,1.0073311125206668e-05,1.9517413750957322e-06,0.7436526383730357,5,87.0,0 days 00:00:08.600838
72,0.6055543060898047,COMPLETE,0.6717781886755341,False,0.05976044657482868,255,9,199,0.12567991761355587,0.4759645179348187,45,1.9298505911970953,8.093527089490976e-07,1.7524654407136267e-06,0.8586982454856484,4,100.0,0 days 00:00:10.477344
73,0.6043020905285066,COMPLETE,0.8333413197001611,False,0.017254021483077114,127,6,87,0.00021291120656840594,0.3592228874013276,247,0.4687547484025054,2.2426998223416637,1.065465070015252e-08,0.9851762595851918,5,548.0,0 days 00:00:32.697961
74,0.617207634626414,PRUNED,0.8661760831704554,False,0.015010950007858792,127,4,93,0.00011523374309842086,0.40072466131486206,197,0.5815469089601732,0.8694987326336542,1.787624855208863e-08,0.7405120165434252,4,,0 days 00:00:03.686267
75,0.6067059374138718,PRUNED,0.8543941828478272,False,0.016491965574795805,127,5,99,0.0013958507536667886,0.37036813658710166,220,0.22538112727673631,6.907732819444452,1.924005886816751e-08,0.9758552157923163,4,,0 days 00:00:11.649950
76,0.6042324239098958,COMPLETE,0.7142628565366905,False,0.03489368072716136,511,5,151,0.013740300901976482,0.15527475225631038,216,0.12525759494787303,7.630410539012266e-05,0.00027333192476874555,0.6165449169007234,5,345.0,0 days 00:00:19.634247
77,0.6049893935644756,COMPLETE,0.696091607954079,False,0.04361997558771188,511,7,130,0.04870539618805241,0.02313907536896359,116,0.44964936412058737,4.994716205584704e-05,0.0002823339338809544,0.6401380322164593,5,109.0,0 days 00:00:11.753701
